@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
2121,'2024/04/23 23:41:10:606',5,256,93,59,0.9,0.63,0.5
2122,'2024/04/23 23:41:10:640',5,257,95,59,0.9,0.63,0.5
2123,'2024/04/23 23:41:10:671',5,257,95,59,0.9,0.63,0.5
2124,'2024/04/23 23:41:10:704',5,257,97,59,0.9,0.63,0.5
2125,'2024/04/23 23:41:10:738',5,257,97,59,0.9,0.63,0.5
2126,'2024/04/23 23:41:10:773',5,257,95,60,0.9,0.63,0.5
2127,'2024/04/23 23:41:10:807',5,257,95,60,0.9,0.64,0.5
2128,'2024/04/23 23:41:10:840',5,259,98,57,0.9,0.65,0.5
2129,'2024/04/23 23:41:10:872',5,259,98,57,0.9,0.65,0.5
2130,'2024/04/23 23:41:10:906',5,259,99,58,0.9,0.65,0.5
2131,'2024/04/23 23:41:10:940',5,259,99,58,0.9,0.65,0.5
2132,'2024/04/23 23:41:10:975',5,258,98,59,0.9,0.65,0.5
2133,'2024/04/23 23:41:11:007',5,258,98,59,0.9,0.65,0.5
2134,'2024/04/23 23:41:11:041',5,259,99,58,0.9,0.66,0.5
2135,'2024/04/23 23:41:11:074',5,259,99,58,0.9,0.66,0.5
2136,'2024/04/23 23:41:11:106',5,258,99,59,0.9,0.66,0.5
2137,'2024/04/23 23:41:11:139',5,258,99,59,0.9,0.66,0.5
2138,'2024/04/23 23:41:11:174',5,260,100,57,0.9,0.67,0.5
2139,'2024/04/23 23:41:11:205',5,260,100,57,0.9,0.67,0.5
2140,'2024/04/23 23:41:11:240',5,259,100,58,0.9,0.68,0.5
2141,'2024/04/23 23:41:11:274',5,259,100,58,0.9,0.68,0.5
2142,'2024/04/23 23:41:11:306',5,258,99,60,0.9,0.69,0.5
2143,'2024/04/23 23:41:11:341',5,258,99,60,0.9,0.69,0.5
2144,'2024/04/23 23:41:11:373',5,259,102,56,0.9,0.7,0.5
2145,'2024/04/23 23:41:11:408',5,259,102,56,0.9,0.7,0.5
2146,'2024/04/23 23:41:11:440',5,257,100,60,0.9,0.71,0.5
2147,'2024/04/23 23:41:11:472',5,257,100,60,0.9,0.71,0.5
2148,'2024/04/23 23:41:11:503',5,258,102,56,0.9,0.71,0.5
2149,'2024/04/23 23:41:11:539',5,258,102,56,0.9,0.72,0.5
2150,'2024/04/23 23:41:11:572',5,258,101,57,0.9,0.72,0.5
2151,'2024/04/23 23:41:11:605',5,258,101,57,0.9,0.72,0.5
2152,'2024/04/23 23:41:11:641',5,258,102,59,0.9,0.72,0.5
2153,'2024/04/23 23:41:11:674',5,258,102,59,0.9,0.72,0.5
2154,'2024/04/23 23:41:11:706',5,257,103,59,0.9,0.72,0.5
2155,'2024/04/23 23:41:11:737',5,257,103,59,0.9,0.72,0.5
2156,'2024/04/23 23:41:11:772',5,258,104,58,0.9,0.72,0.5
2157,'2024/04/23 23:41:11:805',5,258,104,58,0.9,0.72,0.5
2158,'2024/04/23 23:41:11:839',5,259,106,57,0.9,0.72,0.5
2159,'2024/04/23 23:41:11:871',5,259,106,57,0.9,0.72,0.5
2160,'2024/04/23 23:41:11:906',5,258,105,58,0.9,0.72,0.5
2161,'2024/04/23 23:41:11:939',5,258,105,58,0.9,0.72,0.5
2162,'2024/04/23 23:41:11:974',5,258,106,59,0.9,0.73,0.5
2163,'2024/04/23 23:41:12:005',5,258,106,59,0.9,0.74,0.5
2164,'2024/04/23 23:41:12:039',5,258,106,59,0.9,0.75,0.5
2165,'2024/04/23 23:41:12:072',5,258,106,59,0.9,0.75,0.5
2166,'2024/04/23 23:41:12:106',5,256,106,60,0.9,0.75,0.5
2167,'2024/04/23 23:41:12:140',5,256,106,60,0.9,0.76,0.5
2168,'2024/04/23 23:41:12:174',5,258,108,59,0.9,0.76,0.5
2169,'2024/04/23 23:41:12:206',5,258,108,59,0.9,0.76,0.5
2170,'2024/04/23 23:41:12:242',5,258,108,59,0.9,0.77,0.5
2171,'2024/04/23 23:41:12:273',5,258,108,59,0.9,0.78,0.5
2172,'2024/04/23 23:41:12:305',5,258,110,57,0.9,0.78,0.5
2173,'2024/04/23 23:41:12:338',5,258,110,57,0.9,0.78,0.5
2174,'2024/04/23 23:41:12:374',5,257,111,59,0.9,0.78,0.5
2175,'2024/04/23 23:41:12:411',5,257,111,59,0.9,0.78,0.5
2176,'2024/04/23 23:41:12:443',5,257,109,62,0.9,0.78,0.5
2177,'2024/04/23 23:41:12:479',5,257,109,62,0.9,0.78,0.5
2178,'2024/04/23 23:41:12:516',5,258,113,60,0.9,0.78,0.5
2179,'2024/04/23 23:41:12:548',5,258,113,60,0.9,0.78,0.5
2180,'2024/04/23 23:41:12:582',5,258,113,60,0.9,0.78,0.5
2181,'2024/04/23 23:41:12:616',5,258,113,60,0.9,0.78,0.5
2182,'2024/04/23 23:41:12:648',5,257,113,60,0.9,0.78,0.5
2183,'2024/04/23 23:41:12:679',5,257,113,60,0.9,0.78,0.5
2184,'2024/04/23 23:41:12:712',5,257,115,61,0.9,0.77,0.5
2185,'2024/04/23 23:41:12:745',5,257,115,61,0.9,0.77,0.5
2186,'2024/04/23 23:41:12:777',5,260,119,57,0.9,0.77,0.5
2187,'2024/04/23 23:41:12:810',5,260,119,57,0.9,0.77,0.5
2188,'2024/04/23 23:41:12:843',5,260,118,58,0.9,0.77,0.5
2189,'2024/04/23 23:41:12:875',5,260,118,58,0.9,0.77,0.5
2190,'2024/04/23 23:41:12:911',5,258,119,59,0.9,0.77,0.5
2191,'2024/04/23 23:41:12:943',5,258,119,59,0.9,0.77,0.5
2192,'2024/04/23 23:41:12:975',5,258,119,60,0.9,0.79,0.5
2193,'2024/04/23 23:41:13:009',5,258,119,60,0.9,0.8,0.5
2194,'2024/04/23 23:41:13:042',5,259,119,59,0.9,0.8,0.5
2195,'2024/04/23 23:41:13:076',5,259,119,59,0.9,0.8,0.5
2196,'2024/04/23 23:41:13:110',5,259,120,59,0.9,0.8,0.5
2197,'2024/04/23 23:41:13:143',5,259,120,59,0.9,0.8,0.5
2198,'2024/04/23 23:41:13:176',5,259,121,57,0.9,0.81,0.5
2199,'2024/04/23 23:41:13:209',5,259,121,57,0.9,0.82,0.5
2200,'2024/04/23 23:41:13:242',5,259,120,58,0.9,0.82,0.5
2201,'2024/04/23 23:41:13:281',5,259,120,58,0.9,0.82,0.5
2202,'2024/04/23 23:41:13:319',5,258,121,60,0.9,0.82,0.5
2203,'2024/04/23 23:41:13:361',5,258,121,60,0.9,0.82,0.5
2204,'2024/04/23 23:41:13:400',5,258,120,59,0.9,0.83,0.5
2205,'2024/04/23 23:41:13:439',5,259,122,58,0.9,0.83,0.5
2206,'2024/04/23 23:41:13:476',5,259,122,58,0.9,0.84,0.5
2207,'2024/04/23 23:41:13:507',5,259,122,58,0.9,0.84,0.5
2208,'2024/04/23 23:41:13:542',5,259,122,58,0.9,0.84,0.5
2209,'2024/04/23 23:41:13:575',5,259,122,58,0.9,0.84,0.5
2210,'2024/04/23 23:41:13:608',5,259,122,58,0.9,0.85,0.5
2211,'2024/04/23 23:41:13:649',5,260,126,58,0.9,0.85,0.5
2212,'2024/04/23 23:41:13:688',5,260,126,58,0.9,0.85,0.5
2213,'2024/04/23 23:41:13:720',5,260,126,58,0.9,0.85,0.5
2214,'2024/04/23 23:41:13:756',5,260,126,58,0.9,0.85,0.5
2215,'2024/04/23 23:41:13:795',5,260,126,57,0.9,0.86,0.5
2216,'2024/04/23 23:41:13:829',5,260,128,57,0.9,0.86,0.5
2217,'2024/04/23 23:41:13:863',5,260,128,57,0.9,0.86,0.5
2218,'2024/04/23 23:41:13:894',5,260,128,57,0.9,0.86,0.5
2219,'2024/04/23 23:41:13:929',5,260,128,57,0.9,0.86,0.5
2220,'2024/04/23 23:41:13:966',5,260,128,57,0.9,0.86,0.5
2221,'2024/04/23 23:41:14:006',5,260,128,57,0.9,0.86,0.5
2222,'2024/04/23 23:41:14:037',5,260,128,58,0.9,0.86,0.5
2223,'2024/04/23 23:41:14:071',5,260,128,58,0.9,0.86,0.5
2224,'2024/04/23 23:41:14:106',5,262,129,56,0.9,0.86,0.5
2225,'2024/04/23 23:41:14:138',5,262,129,56,0.9,0.86,0.5
2226,'2024/04/23 23:41:14:173',5,260,128,58,0.9,0.86,0.5
2227,'2024/04/23 23:41:14:206',5,260,128,58,0.9,0.86,0.5
2228,'2024/04/23 23:41:14:240',5,260,128,58,0.9,0.86,0.5
2229,'2024/04/23 23:41:14:274',5,260,128,58,0.9,0.86,0.5
2230,'2024/04/23 23:41:14:306',5,262,129,57,0.9,0.86,0.5
2231,'2024/04/23 23:41:14:340',5,262,129,57,0.9,0.86,0.5
2232,'2024/04/23 23:41:14:372',5,262,129,57,0.9,0.87,0.5
2233,'2024/04/23 23:41:14:406',5,262,129,57,0.9,0.88,0.5
2234,'2024/04/23 23:41:14:442',5,261,127,57,0.9,0.88,0.5
2235,'2024/04/23 23:41:14:475',5,261,127,57,0.9,0.88,0.5
2236,'2024/04/23 23:41:14:509',5,260,125,60,0.9,0.88,0.5
2237,'2024/04/23 23:41:14:541',5,260,125,60,0.9,0.88,0.5
2238,'2024/04/23 23:41:14:574',5,260,125,60,0.9,0.88,0.5
2239,'2024/04/23 23:41:14:611',5,260,125,60,0.9,0.88,0.5
2240,'2024/04/23 23:41:14:647',5,260,127,58,0.9,0.88,0.5
2241,'2024/04/23 23:41:14:682',5,260,127,58,0.9,0.88,0.5
2242,'2024/04/23 23:41:14:720',5,262,128,55,0.9,0.88,0.5
2243,'2024/04/23 23:41:14:758',5,262,128,55,0.9,0.88,0.5
2244,'2024/04/23 23:41:14:799',5,262,128,55,0.9,0.88,0.5
2245,'2024/04/23 23:41:14:837',5,262,128,55,0.9,0.88,0.5
2246,'2024/04/23 23:41:14:872',5,262,128,55,0.9,0.88,0.5
2247,'2024/04/23 23:41:14:909',5,262,128,55,0.9,0.88,0.5
2248,'2024/04/23 23:41:14:945',5,262,128,55,0.9,0.89,0.5
2249,'2024/04/23 23:41:14:982',5,262,128,55,0.9,0.89,0.5
2250,'2024/04/23 23:41:15:018',5,262,128,55,0.9,0.89,0.5
2251,'2024/04/23 23:41:15:054',5,262,128,55,0.9,0.89,0.5
2252,'2024/04/23 23:41:15:087',5,262,128,55,0.9,0.89,0.5
2253,'2024/04/23 23:41:15:121',5,262,128,55,0.9,0.89,0.5
2254,'2024/04/23 23:41:15:154',5,260,133,57,0.9,0.89,0.5
2255,'2024/04/23 23:41:15:191',5,260,133,57,0.9,0.89,0.5
2256,'2024/04/23 23:41:15:227',5,260,133,57,0.9,0.89,0.5
2257,'2024/04/23 23:41:15:259',5,260,133,57,0.9,0.89,0.5
2258,'2024/04/23 23:41:15:290',5,260,133,57,0.9,0.89,0.5
2259,'2024/04/23 23:41:15:325',5,260,133,57,0.9,0.89,0.5
2260,'2024/04/23 23:41:15:357',5,260,132,58,0.9,0.89,0.5
2261,'2024/04/23 23:41:15:393',5,260,132,58,0.9,0.89,0.5
2262,'2024/04/23 23:41:15:429',5,260,132,58,0.9,0.89,0.5
2263,'2024/04/23 23:41:15:462',5,260,132,58,0.9,0.89,0.5
2264,'2024/04/23 23:41:15:495',5,260,132,58,0.9,0.89,0.5
2265,'2024/04/23 23:41:15:526',5,260,132,58,0.9,0.89,0.5
2266,'2024/04/23 23:41:15:559',5,263,132,54,0.9,0.89,0.5
2267,'2024/04/23 23:41:15:591',5,263,132,54,0.9,0.89,0.5
2268,'2024/04/23 23:41:15:625',5,263,132,54,0.9,0.89,0.5
2269,'2024/04/23 23:41:15:659',5,264,132,53,0.9,0.89,0.5
2270,'2024/04/23 23:41:15:691',5,265,131,51,0.9,0.89,0.5
2271,'2024/04/23 23:41:15:726',5,265,131,51,0.9,0.89,0.5
2272,'2024/04/23 23:41:15:757',5,265,131,51,0.9,0.89,0.5
2273,'2024/04/23 23:41:15:793',5,265,131,51,0.9,0.89,0.5
2274,'2024/04/23 23:41:15:824',5,265,131,51,0.9,0.89,0.5
2275,'2024/04/23 23:41:15:857',5,265,131,51,0.9,0.89,0.5
2276,'2024/04/23 23:41:15:889',5,265,131,51,0.9,0.89,0.5
2277,'2024/04/23 23:41:15:920',5,265,131,51,0.9,0.89,0.5
2278,'2024/04/23 23:41:15:958',5,265,131,51,0.9,0.89,0.5
2279,'2024/04/23 23:41:15:990',5,265,131,51,0.9,0.89,0.5
2280,'2024/04/23 23:41:16:023',5,265,131,51,0.9,0.89,0.5
2281,'2024/04/23 23:41:16:059',5,257,127,57,0.9,0.89,0.5
2282,'2024/04/23 23:41:16:092',5,254,127,56,0.9,0.89,0.5
2283,'2024/04/23 23:41:16:123',5,254,127,56,0.9,0.89,0.5
2284,'2024/04/23 23:41:16:153',5,254,127,56,0.9,0.89,0.5
2285,'2024/04/23 23:41:16:189',5,252,128,57,0.9,0.89,0.5
2286,'2024/04/23 23:41:16:222',5,248,126,59,0.9,0.89,0.5
2287,'2024/04/23 23:41:16:254',5,248,126,59,0.9,0.89,0.5
2288,'2024/04/23 23:41:16:289',5,246,126,60,0.9,0.89,0.5
2289,'2024/04/23 23:41:16:323',5,246,126,60,0.9,0.89,0.5
2290,'2024/04/23 23:41:16:355',5,247,126,59,0.9,0.89,0.5
2291,'2024/04/23 23:41:16:388',5,247,126,59,0.9,0.89,0.5
2292,'2024/04/23 23:41:16:423',5,247,126,59,0.9,0.89,0.5
2293,'2024/04/23 23:41:16:457',5,246,126,62,0.9,0.89,0.5
2294,'2024/04/23 23:41:16:492',5,246,126,62,0.9,0.89,0.5
2295,'2024/04/23 23:41:16:523',5,246,126,62,0.9,0.89,0.5
2296,'2024/04/23 23:41:16:556',5,247,128,59,0.9,0.89,0.5
2297,'2024/04/23 23:41:16:588',5,247,128,59,0.9,0.89,0.5
2298,'2024/04/23 23:41:16:623',5,247,130,58,0.9,0.89,0.5
2299,'2024/04/23 23:41:16:655',5,247,130,58,0.9,0.89,0.5
2300,'2024/04/23 23:41:16:696',5,244,128,65,0.9,0.89,0.5
2301,'2024/04/23 23:41:16:728',5,244,128,65,0.9,0.89,0.5
2302,'2024/04/23 23:41:16:762',5,243,128,65,0.9,0.9,0.5
2303,'2024/04/23 23:41:16:793',5,243,128,65,0.9,0.9,0.5
2304,'2024/04/23 23:41:16:828',5,243,128,65,0.9,0.9,0.5
2305,'2024/04/23 23:41:16:862',5,246,132,59,0.9,0.9,0.5
2306,'2024/04/23 23:41:16:898',5,246,134,57,0.9,0.9,0.5
2307,'2024/04/23 23:41:16:932',5,246,134,57,0.9,0.9,0.5
2308,'2024/04/23 23:41:16:965',5,245,133,59,0.9,0.9,0.5
2309,'2024/04/23 23:41:16:997',5,245,133,59,0.9,0.9,0.5
2310,'2024/04/23 23:41:17:028',5,245,132,63,0.9,0.9,0.5
2311,'2024/04/23 23:41:17:064',5,245,132,63,0.9,0.9,0.5
2312,'2024/04/23 23:41:17:095',5,244,134,60,0.9,0.9,0.5
2313,'2024/04/23 23:41:17:126',5,244,134,60,0.9,0.9,0.5
2314,'2024/04/23 23:41:17:158',5,244,135,59,0.9,0.9,0.5
2315,'2024/04/23 23:41:17:189',5,244,135,59,0.9,0.9,0.5
2316,'2024/04/23 23:41:17:222',5,244,135,59,0.9,0.9,0.5
2317,'2024/04/23 23:41:17:255',5,244,136,59,0.9,0.9,0.5
